id,questionnaire_id,question_name,field_name,question_label,page_id,question_type_id,options,button_image_url,sequence,active,created,modified
4,1,Front of the Property,front_of_property_image,,3,3,,btn_property_main.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
5,1,Street View from Street,street_view_from_street_image,,4,3,,btn_street_view.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
6,1,Street View from Front Door,street_view_from_front_door_image,,5,3,,btn_street_from_door.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
7,1,Property Address Verification,property_address_verification_image,,6,3,,btn_property_verification.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
8,1,Property Type,property_type,Please select the property type and hit continue,7,2,Commercial Non-Residential;Condominium;Cooperative;Manufactured Mobile Home;Mixed Use Residential;Multifamily More Than Four Units;Single Family;Townhouse;Two To Four Unit Property;Vacant Land,,0,1,11/30/2015 0:00,11/30/2015 0:00
9,1,Property Secured?,property_secured,Please indicate if the property is secured and hit continue.,8,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
10,1,Property Secured Comments,property_secured_comments,"If no, please explain.  Optionally take a photo",8,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
11,1,Property Secured Photo,property_secured_image,,8,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
12,1,Property Occupied?,property_occupied,Please indicate if the property is occupied and hit continue.,9,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
13,1,Property Occupied Comments,property_occupied_comments,"If no, please explain.  Optionally take a photo",9,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
14,1,Property Occupied Photo,property_occupied_image,,9,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
15,1,Land Use Zoning,land_use_zoning,Please indicate the land use zoning and hit continue.,10,2,Residential;Commercial;Mixed Use;I do not know,,0,1,11/30/2015 0:00,11/30/2015 0:00
16,1,Number Garage Stalls,number_garage_stalls,Number of Stalls,11,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
17,1,Stalls Attached,garage_stalls_attached,,11,2,Attached;Detached;Integral;Mulitple Structures (please photo each),,0,1,11/30/2015 0:00,11/30/2015 0:00
18,1,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",11,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
19,1,Roof Condition,roof_condition,Please indicate the condition of the roof.,12,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
20,1,Roof Condition Comments,roof_condition_comments,Additional Comments,12,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
21,1,Roof Condition Photo,roof_condition_image,Optionally take a photo of the roof,12,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
22,1,Siding Condition,siding_condition,Please indicate the condition of the siding.,13,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
23,1,Siding Condition Comments,siding_condition_comments,Additional Comments,13,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
24,1,Siding Condition Photo,siding_condition_image,Optionally take a photo of the siding,13,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
25,1,Windows Condition,windows_condition,Please indicate the condition of the windows,14,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
26,1,Windows Condition Comments,windows_condition_comments,Additional Comments,14,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
27,1,Windows Condition Photo,windows_condition_image,Optionally take a photo of the windows,14,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
28,1,Foundation Condition,foundation_condition,Please indicate the condition of the foundation,15,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
29,1,Foundation Condition Comments,foundation_condition_comments,Additional Comments,15,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
30,1,Foundation Condition Photo,foundation_condition_image,Optionally take a photo of the foundation,15,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
31,1,Landscape Condition,landscape_condition,Please indicate the condition of the landscape,16,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
32,1,Landscape Condition Comments,landscape_condition_comments,Additional Comments,16,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
33,1,Landscape Condition Photo,landscape_condition_image,Optionally take a photo of the landscape,16,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
34,1,Other Condition Comments,order_condition_comments,Please provide details of any additional damage or comments about the condition of the property:,17,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
35,1,Other Condition Photo,other_condition_image,Optionally take a photo to explain,17,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
36,1,Overall Condition,overall_condition,Please indicate the condition of the property,18,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
37,1,Overall Condition Comments,overall_condition_comments,Additional Comments,18,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
38,1,Location Type,location_type,Please indicate the condition of the landscape,19,2,Urban;Suburban;Rural,,0,1,11/30/2015 0:00,11/30/2015 0:00
39,1,Neighborhood Condition,neighborhood_condition,Please indicate the condition of the neighborhood.,20,2,Excellent;Good;Average;Fair;Poor;N/A,,0,1,11/30/2015 0:00,11/30/2015 0:00
40,1,Neighborhood Condition Comments,neighborhood_condition_comments,Additional Comments,20,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
41,1,Conforms to Neighborhood,confirms_to_neighborhood,Please indicate if the subject property conforms to the neighborhood.,21,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
42,1,Conforms to Neighborhood Comments,conforms_to_neighborhood_comments,If no please explain,21,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
43,1,Conforms to Neighborhood Photo,conforms_to_neighborhood_image,Optionally take a photo to explain,21,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
44,1,High Voltage Powerlines,high_voltage_powerlines,Please indicate if there are any high voltage overhead powerlines within 300 feet of the property?,22,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
45,1,High Voltage Powerlines Photo,high_voltage_powerlines_image,Optionally take a photo,22,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
46,1,Boarded Up Homes,boarded_up_homes,Please indicate if there are any boarded up homes within 300 feet of the property?,23,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
47,1,Boarded Up Homes Photo,boarded_up_homes_image,Optionally take a photo,23,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
48,1,Freeway or Highway,freeway_or_highway,Please indicate if there are any freeways or highways within 300 feet of the property?,24,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
49,1,Freeway or Highway Photo,freeway_or_highway_image,Optionally take a photo,24,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
50,1,Parks/Recreation,parks_recreation,Please indicate if there are any parks or recreation features within 300 feet of the property?,25,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
51,1,Parks/Recreation Photo,parks_recreation_image,Optionally take a photo,25,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
52,1,Waste Management Facilities,waste_management_facilities,Please indicate if there are any waste management facilities within 300 feet of the property?,26,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
53,1,Waste Management Facilities Photo,waste_management_facilities_photo,Optionally take a photo,26,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
54,1,Commercial Buildings,commercial_buildings,Please indicate if there are any commercial buildings within 300 feet of the property?,27,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
55,1,Commercial Buildings Photo,commercial_buildings_image,Optionally take a photo,27,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
56,1,Railroad Tracks,railroad_tracks,Please indicate if there are any railroad tracks within 300 feet of the property?,28,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
57,1,Railroad Tracks Photo,railroad_tracks_image,Optionally take a photo,28,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
58,1,Airport/Flightpath,airport_flightpath,"Please indicate if there is an airport within 300 feet of the property, or the property is in a low flying plane flightpath?",29,2,Yes;No,,0,1,11/30/2015 0:00,11/30/2015 0:00
59,1,Airport/Flightpath Photo,airport_flightpath_image,Optionally take a photo,29,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,3/20/2016 21:18
60,1,Other Properties for Sale,other_properties_for_sale,Please indicate how many other properties are for sale on the same street as the subject property?,30,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
61,1,Other Properties for Sale Photo,other_properties_for_sale_image,Optionally take a photo,30,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
62,1,Additional Neighborhood Comments,additional_neighborhood_comments,If you have any additional comments about the neighborhood please include them here.,31,1,,,0,1,11/30/2015 0:00,11/30/2015 0:00
63,2,Front of the Property,front_of_property_image,,34,3,,btn_property_main.jpg,0,1,11/30/2015 0:00,4/7/2016 16:50
64,2,Street View from Street,street_view_from_street_image,,35,3,,btn_street_view.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
65,2,Street View from Front Door,street_view_from_front_door_image,,36,3,,btn_street_from_door.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
66,2,Property Address Verification,property_address_verification_image,,37,3,,btn_property_verification.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
67,2,Property Type,property_type,Please indicate the property type and hit continue,38,2,Single Family;Townhouse;Condominium;Manufactured Home;Two To Four Family,,1,1,11/30/2015 0:00,8/4/2016 8:20
68,2,Property Secured?,property_secured,Please indicate if the property is secured and hit continue.,33,2,Yes;No,,0,0,11/30/2015 0:00,4/7/2016 16:50
69,2,Property Secured Comments,property_secured_comments,"If no, please explain.  Optionally take a photo",33,1,,,0,0,11/30/2015 0:00,4/7/2016 16:50
70,2,Property Secured Photo,property_secured_image,,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:50
71,2,Property Occupied?,property_occupied,Please indicate if the property is occupied and hit continue.,40,2,Yes;No;Unknown,,1,1,11/30/2015 0:00,9/29/2017 12:15
72,2,Property Occupied Comments,property_occupied_comments,"If no, please explain.  Optionally take a photo",40,1,,,2,1,11/30/2015 0:00,9/29/2017 12:15
73,2,Property Occupied Photo,property_occupied_image,,40,3,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,9/29/2017 12:15
74,2,Land Use Zoning,land_use_zoning,Please indicate the land use zoning and hit continue.,41,2,Residential;Commercial;Mixed Use;I do not know,,0,1,11/30/2015 0:00,4/7/2016 16:51
75,2,Number Garage Stalls,number_garage_stalls,Number of Stalls,42,1,,,1,1,11/30/2015 0:00,3/7/2018 13:29
76,2,Stalls Attached,garage_stalls_attached,,42,2,Attached;Detached;Other;None,,2,1,11/30/2015 0:00,3/7/2018 13:29
77,2,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",42,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,3/7/2018 13:29
78,2,Roof Condition,roof_condition,Please indicate the condition of the roof.,43,2,Good (No visible damage);Average (Some visible Damage);Poor (Visible damage or needs repair),,1,1,11/30/2015 0:00,1/3/2018 11:19
79,2,Roof Condition Comments,roof_condition_comments,Additional Comments,43,1,,,2,1,11/30/2015 0:00,1/3/2018 11:19
80,2,Roof Condition Photo,roof_condition_image,Optionally take a photo of the roof,43,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,1/3/2018 11:19
81,2,Exterior Condition,siding_condition,,44,2,Good (No visible damage);Average (Some visible Damage);Poor (Visible damage or needs repair),,1,1,11/30/2015 0:00,1/3/2018 11:19
82,2,Exterior Condition Comments,siding_condition_comments,Additional Comments,44,1,,,2,1,11/30/2015 0:00,1/3/2018 11:19
83,2,Exterior Condition Photo,siding_condition_image,Optionally take a photo of the siding,44,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,1/3/2018 11:19
84,2,Windows Condition,windows_condition,,45,2,Good (No visible damage);Average (Some visible Damage);Poor (Visible damage or needs repair),,1,1,11/30/2015 0:00,3/6/2020 9:03
85,2,Windows Condition Comments,windows_condition_comments,Additional Comments (include age if known),45,1,,,2,1,11/30/2015 0:00,3/6/2020 9:03
86,2,Windows Condition Photo,windows_condition_image,Optionally take a photo of the windows,45,3,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,3/6/2020 9:03
87,2,Foundation Condition,foundation_condition,,33,2,"Excellent (level, no visible damage);Good (no visible damage, < 3 inch deflection);Fair (> 3 inch deflection);Poor (visible damage or cracks);I don't know",,1,0,11/30/2015 0:00,9/29/2017 12:49
88,2,Foundation Condition Comments,foundation_condition_comments,Additional Comments,33,1,,,2,0,11/30/2015 0:00,9/29/2017 12:49
89,2,Foundation Condition Photo,foundation_condition_image,Optionally take a photo of the foundation,33,3,,btn_add_optional_photo.jpg,3,0,11/30/2015 0:00,9/29/2017 12:49
90,2,Landscape Condition,landscape_condition,,47,2,Good (No visible damage);Average (Some visible Damage);Poor (Visible damage or needs repair),,1,1,11/30/2015 0:00,1/3/2018 11:20
91,2,Landscape Condition Comments,landscape_condition_comments,Additional Comments,47,1,,,2,1,11/30/2015 0:00,1/3/2018 11:20
