id,questionnaire_id,question_name,field_name,question_label,page_id,question_type_id,options,button_image_url,sequence,active,created,modified
4,1,Front of the Property,front_of_property_image,,3,3,,btn_property_main.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
5,1,Street View from Street,street_view_from_street_image,,4,3,,btn_street_view.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
6,1,Street View from Front Door,street_view_from_front_door_image,,5,3,,btn_street_from_door.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
7,1,Property Address Verification,property_address_verification_image,,6,3,,btn_property_verification.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
11,1,Property Secured Photo,property_secured_image,,8,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
14,1,Property Occupied Photo,property_occupied_image,,9,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
18,1,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",11,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
21,1,Roof Condition Photo,roof_condition_image,Optionally take a photo of the roof,12,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
24,1,Siding Condition Photo,siding_condition_image,Optionally take a photo of the siding,13,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
27,1,Windows Condition Photo,windows_condition_image,Optionally take a photo of the windows,14,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
30,1,Foundation Condition Photo,foundation_condition_image,Optionally take a photo of the foundation,15,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
33,1,Landscape Condition Photo,landscape_condition_image,Optionally take a photo of the landscape,16,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
35,1,Other Condition Photo,other_condition_image,Optionally take a photo to explain,17,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
43,1,Conforms to Neighborhood Photo,conforms_to_neighborhood_image,Optionally take a photo to explain,21,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
45,1,High Voltage Powerlines Photo,high_voltage_powerlines_image,Optionally take a photo,22,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
47,1,Boarded Up Homes Photo,boarded_up_homes_image,Optionally take a photo,23,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
49,1,Freeway or Highway Photo,freeway_or_highway_image,Optionally take a photo,24,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
51,1,Parks/Recreation Photo,parks_recreation_image,Optionally take a photo,25,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
53,1,Waste Management Facilities Photo,waste_management_facilities_photo,Optionally take a photo,26,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
55,1,Commercial Buildings Photo,commercial_buildings_image,Optionally take a photo,27,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
57,1,Railroad Tracks Photo,railroad_tracks_image,Optionally take a photo,28,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
59,1,Airport/Flightpath Photo,airport_flightpath_image,Optionally take a photo,29,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,3/20/2016 21:18
61,1,Other Properties for Sale Photo,other_properties_for_sale_image,Optionally take a photo,30,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
63,2,Front of the Property,front_of_property_image,,34,3,,btn_property_main.jpg,0,1,11/30/2015 0:00,4/7/2016 16:50
64,2,Street View from Street,street_view_from_street_image,,35,3,,btn_street_view.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
65,2,Street View from Front Door,street_view_from_front_door_image,,36,3,,btn_street_from_door.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
66,2,Property Address Verification,property_address_verification_image,,37,3,,btn_property_verification.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
70,2,Property Secured Photo,property_secured_image,,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:50
73,2,Property Occupied Photo,property_occupied_image,,40,3,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,9/29/2017 12:15
77,2,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",42,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,3/7/2018 13:29
80,2,Roof Condition Photo,roof_condition_image,Optionally take a photo of the roof,43,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,1/3/2018 11:19
83,2,Exterior Condition Photo,siding_condition_image,Optionally take a photo of the siding,44,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,1/3/2018 11:19
86,2,Windows Condition Photo,windows_condition_image,Optionally take a photo of the windows,45,3,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,3/6/2020 9:03
89,2,Foundation Condition Photo,foundation_condition_image,Optionally take a photo of the foundation,33,3,,btn_add_optional_photo.jpg,3,0,11/30/2015 0:00,9/29/2017 12:49
92,2,Landscape Condition Photo,landscape_condition_image,Optionally take a photo of the landscape,47,7,,btn_add_optional_photo.jpg,3,1,11/30/2015 0:00,1/3/2018 11:20
94,2,Other Exterior Photo,other_condition_image,Optionally take a photo to explain,48,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:20
105,2,Interior Master Bedroom Photo,interior_master_bedroom_photo,Take a photo of the master bedroom,51,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:21
107,2,Interior Master Bathroom Photo,interior_master_bathroom_photo,Take a photo of the master bathroom,52,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:22
109,2,Interior Main Living Area Photo,interior_main_living_area_photo,Take a photo of the main living area,53,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:22
111,2,Interior Kitchen Photo,interior_kitchen_photo,Take a photo of the kitchen.,54,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:22
113,2,Interior Other Features Photo,interior_other_features_photo,Optionally take a photo of the additional features,55,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:22
115,2,Interior Overall Condition Photo,interior_overall_condition_photo,Optionally take a photo,56,7,,btn_add_optional_photo.jpg,2,1,11/30/2015 0:00,1/3/2018 11:22
121,2,Conforms to Neighborhood Photo,conforms_to_neighborhood_image,Optionally take a photo to explain,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:55
123,2,High Voltage Powerlines Photo,high_voltage_powerlines_image,Optionally take a photo,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:55
125,2,Boarded Up Homes Photo,boarded_up_homes_image,Optionally take a photo,33,3,,btn_add_photo.jpgbtn_add_optional_photo,0,0,11/30/2015 0:00,4/7/2016 16:55
127,2,Freeway or Highway Photo,freeway_or_highway_image,Optionally take a photo,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:55
129,2,Parks/Recreation Photo,parks_recreation_image,Optionally take a photo,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:55
131,2,Waste Management Facilities Photo,waste_management_facilities_photo,Optionally take a photo,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:55
133,2,Commercial Buildings Photo,commercial_buildings_image,Optionally take a photo,33,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,4/7/2016 16:55
135,2,Railroad Tracks Photo,railroad_tracks_image,Optionally take a photo,66,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,3/25/2016 12:08
137,2,Airport/Flightpath Photo,airport_flightpath_image,Optionally take a photo,67,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,3/25/2016 12:08
139,2,Other Properties for Sale Photo,other_properties_for_sale_image,Optionally take a photo,68,3,,btn_add_optional_photo.jpg,0,0,11/30/2015 0:00,9/29/2017 12:40
141,3,Front of the Property,front_of_property_image,,72,3,,btn_property_main.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
142,3,Street View from Street,street_view_from_street_image,,73,3,,btn_street_view.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
143,3,Street View from Front Door,street_view_from_front_door_image,,74,3,,btn_street_from_door.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
144,3,Property Address Verification,property_address_verification_image,,75,3,,btn_property_verification.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
148,3,Property Secured Photo,property_secured_image,,77,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
151,3,Property Occupied Photo,property_occupied_image,,78,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
155,3,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",80,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
158,3,Roof Condition Photo,roof_condition_image,Optionally take a photo of the roof,81,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
161,3,Siding Condition Photo,siding_condition_image,Optionally take a photo of the siding,82,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
164,3,Windows Condition Photo,windows_condition_image,Optionally take a photo of the windows,83,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
167,3,Foundation Condition Photo,foundation_condition_image,Optionally take a photo of the foundation,84,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
170,3,Landscape Condition Photo,landscape_condition_image,Optionally take a photo of the landscape,85,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
172,3,Other Condition Photo,other_condition_image,Optionally take a photo to explain,86,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
183,3,Interior Master Bedroom Photo,interior_master_bedroom_photo,Take a photo of the master bedroom,89,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
185,3,Interior Master Bathroom Photo,interior_master_bathroom_photo,Take a photo of the master bathroom,90,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
187,3,Interior Main Living Area Photo,interior_main_living_area_photo,Take a photo of the main living area,91,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
189,3,Interior Basement Photo,interior_basement_photo,Take a photo of the basement if there is one.,92,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
191,3,Interior Other Features Photo,interior_other_features_photo,Optionally take a photo of the additional features,93,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
193,3,Interior Overall Condition Photo,interior_overall_condition_photo,Optionally take a photo,94,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
199,3,Conforms to Neighborhood Photo,conforms_to_neighborhood_image,Optionally take a photo to explain,97,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
201,3,High Voltage Powerlines Photo,high_voltage_powerlines_image,Optionally take a photo,98,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
203,3,Boarded Up Homes Photo,boarded_up_homes_image,Optionally take a photo,99,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
205,3,Freeway or Highway Photo,freeway_or_highway_image,Optionally take a photo,100,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,3/22/2016 5:51
207,3,Parks/Recreation Photo,parks_recreation_image,Optionally take a photo,101,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
209,3,Waste Management Facilities Photo,waste_management_facilities_photo,Optionally take a photo,102,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
211,3,Commercial Buildings Photo,commercial_buildings_image,Optionally take a photo,103,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
213,3,Railroad Tracks Photo,railroad_tracks_image,Optionally take a photo,104,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
215,3,Airport/Flightpath Photo,airport_flightpath_image,Optionally take a photo,105,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
217,3,Other Properties for Sale Photo,other_properties_for_sale_image,Optionally take a photo,106,3,,btn_add_photo.jpg,0,1,11/30/2015 0:00,11/30/2015 0:00
219,4,Take a photo,front_of_property_image,Use your phone to take a photo.,111,3,,btn_property_main.jpg,0,1,3/24/2016 14:20,5/5/2016 4:40
247,7,Front of the Property,front_of_property_image,,127,3,,btn_property_main.jpg,0,1,11/30/2015 0:00,4/7/2016 16:50
248,7,Street View from Street,street_view_from_street_image,,128,3,,btn_street_view.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
249,7,Street View from Front Door,street_view_from_front_door_image,,129,3,,btn_street_from_door.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
250,7,Property Address Verification,property_address_verification_image,,130,3,,btn_property_verification.jpg,1,1,11/30/2015 0:00,8/4/2016 8:20
254,7,Property Occupied Photo,property_occupied_image,,133,3,,btn_add_optional_photo.jpg,0,1,11/30/2015 0:00,4/7/2016 16:51
258,7,Garage Photo,garage_stalls_image,"If not clearly visible in the earlier property photos, please take a photo of the garage stalls.",135,3,,btn_add_optional_photo.jpg,0,1,11/30/2015 0:00,4/7/2016 16:51
